"kod";"adres";"miejscowosc";"wojewodztwo";"powiat"
"00-031";"ul. Szpitalna od 2 do ostatniego, od 3 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-032";"ul. Przeskok";"Warszawa";"mazowieckie";"Warszawa"
"00-033";"ul. GÛrskiego Wojciecha";"Warszawa";"mazowieckie";"Warszawa"
"00-034";"ul. Warecka od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-035";"ul. Tuwima Juliana";"Warszawa";"mazowieckie";"Warszawa"
"00-036";"ul. BaczyÒskiego Krzysztofa Kamila";"Warszawa";"mazowieckie";"Warszawa"
"00-037";"ul. Kubusia Puchatka";"Warszawa";"mazowieckie";"Warszawa"
"00-038";"ul. Moniuszki Stanis≥awa od 2 do 4";"Warszawa";"mazowieckie";"Warszawa"
"00-039";"Pl. PowstaÒcÛw Warszawy od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-040";"ul. Warecka od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-041";"ul. Jasna od 14 do 16";"Warszawa";"mazowieckie";"Warszawa"
"00-042";"ul. Nowy åwiat od 41 do 63";"Warszawa";"mazowieckie";"Warszawa"
"00-043";"ul. Czackiego Tadeusza";"Warszawa";"mazowieckie";"Warszawa"
"00-044";"ul. åwiÍtokrzyska od 10 do 12";"Warszawa";"mazowieckie";"Warszawa"
"00-046";"ul. Nowy åwiat od 65 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-047";"ul. Krakowskie Przedmieúcie od 1 do 3";"Warszawa";"mazowieckie";"Warszawa"
"00-048";"ul. Mazowiecka od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-049";"ul. åwiÍtokrzyska od 5 do 37";"Warszawa";"mazowieckie";"Warszawa"
"00-050";"ul. åwiÍtokrzyska od 14 do 16";"Warszawa";"mazowieckie";"Warszawa"
"00-051";"ul. Dowcip";"Warszawa";"mazowieckie";"Warszawa"
"00-052";"ul. Mazowiecka od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-052";"ul. åwiÍtokrzyska od 18 do 18";"Warszawa";"mazowieckie";"Warszawa"
"00-054";"ul. Jasna od 18 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-055";"Pl. Dπbrowskiego Jana Henryka od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-056";"ul. Kredytowa od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-057";"Pl. Dπbrowskiego Jana Henryka od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-058";"ul. Jasna od 19 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-059";"ul. Rysia od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-060";"ul. KrÛlewska od 25 do 29";"Warszawa";"mazowieckie";"Warszawa"
"00-061";"ul. Marsza≥kowska od 140 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-062";"ul. Kredytowa od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-062";"ul. KsiÍdza Biskupa Burschego Juliusza";"Warszawa";"mazowieckie";"Warszawa"
"00-063";"Pl. Ma≥achowskiego Stanis≥awa od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-064";"ul. KrÛlewska od 15 do 23";"Warszawa";"mazowieckie";"Warszawa"
"00-065";"ul. KrÛlewska od 2 do 14, od 1 do 13";"Warszawa";"mazowieckie";"Warszawa"
"00-066";"Pl. Ma≥achowskiego Stanis≥awa od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-067";"ul. Pasaø NiøyÒskiego";"Warszawa";"mazowieckie";"Warszawa"
"00-067";"ul. Traugutta Romualda";"Warszawa";"mazowieckie";"Warszawa"
"00-068";"ul. Genera≥a Tokarzewskiego Karaszewicza Micha≥a";"Warszawa";"mazowieckie";"Warszawa"
"00-068";"ul. Krakowskie Przedmieúcie od 5 do 11";"Warszawa";"mazowieckie";"Warszawa"
"00-070";"ul. Kozia";"Warszawa";"mazowieckie";"Warszawa"
"00-071";"ul. Krakowskie Przedmieúcie od 13 do 77";"Warszawa";"mazowieckie";"Warszawa"
"00-072";"ul. OssoliÒskich";"Warszawa";"mazowieckie";"Warszawa"
"00-073";"Pl. Marsza≥ka Pi≥sudskiego JÛzefa od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-074";"ul. TrÍbacka";"Warszawa";"mazowieckie";"Warszawa"
"00-075";"ul. Senatorska od 2 do 4, od 1 do 21";"Warszawa";"mazowieckie";"Warszawa"
"00-076";"ul. Moliera Jana Baptysty";"Warszawa";"mazowieckie";"Warszawa"
"00-077";"Pl. Teatralny";"Warszawa";"mazowieckie";"Warszawa"
"00-078";"Pl. Marsza≥ka Pi≥sudskiego JÛzefa od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-079";"ul. Krakowskie Przedmieúcie od 79 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-080";"ul. Miodowa od 2 do 4, od 1 do 3";"Warszawa";"mazowieckie";"Warszawa"
"00-081";"Poczta Warszawa 005, ul. Miodowa 1";"Warszawa";"mazowieckie";"Warszawa"
"00-081";"Skrytki Pocztowe Poczta Warszawa 005, ul. Miodowa 1";"Warszawa";"mazowieckie";"Warszawa"
"00-082";"ul. Senatorska od 6 do 18";"Warszawa";"mazowieckie";"Warszawa"
"00-083";"ul. Nowy Przejazd";"Warszawa";"mazowieckie";"Warszawa"
"00-084";"ul. Dani≥owiczowska od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-085";"ul. BielaÒska od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-086";"ul. BielaÒska od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-087";"ul. Corazziego Antoniego";"Warszawa";"mazowieckie";"Warszawa"
"00-088";"ul. T≥omackie";"Warszawa";"mazowieckie";"Warszawa"
"00-089";"ul. Gamerskiego Tylmana";"Warszawa";"mazowieckie";"Warszawa"
"00-090";"Al. Solidarnoúci od 71 do 79";"Warszawa";"mazowieckie";"Warszawa"
"00-091";"Pl. Bankowy od 6 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-092";"ul. Hipoteczna od 2 do 4, od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-093";"ul. Dani≥owiczowska od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-094";"ul. Wierzbowa";"Warszawa";"mazowieckie";"Warszawa"
"00-095";"Pl. Bankowy od 2 do 4";"Warszawa";"mazowieckie";"Warszawa"
"00-095";"ul. Senatorska od 20 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-096";"Poczta Warszawa 084, ul. Senatorska 40";"Warszawa";"mazowieckie";"Warszawa"
"00-097";"ul. Fredry Aleksandra";"Warszawa";"mazowieckie";"Warszawa"
"00-098";"ul. Nieca≥a";"Warszawa";"mazowieckie";"Warszawa"
"00-099";"ul. Canaletta";"Warszawa";"mazowieckie";"Warszawa"
"00-099";"ul. Senatorska od 23 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-100";"ul. Przechodnia";"Warszawa";"mazowieckie";"Warszawa"
"00-102";"ul. Marsza≥kowska od 111 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-103";"ul. KrÛlewska od 16 do ostatniego, od 31 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-104";"Pl. Grzybowski od 10 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-105";"ul. Twarda od 2 do 24";"Warszawa";"mazowieckie";"Warszawa"
"00-107";"ul. PrÛøna";"Warszawa";"mazowieckie";"Warszawa"
"00-108";"ul. Zielna";"Warszawa";"mazowieckie";"Warszawa"
"00-109";"Pl. Grzybowski od 2 do 8";"Warszawa";"mazowieckie";"Warszawa"
"00-110";"Pl. Defilad";"Warszawa";"mazowieckie";"Warszawa"
"00-110";"ul. Marsza≥kowska od 101 do 109";"Warszawa";"mazowieckie";"Warszawa"
"00-111";"Poczta Warszawa 120, Al. Jerozolimskie 54";"Warszawa";"mazowieckie";"Warszawa"
"00-112";"ul. Bagno";"Warszawa";"mazowieckie";"Warszawa"
"00-113";"ul. Plater Emilii od 36 do ostatniego, od 53 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-114";"ul. Twarda od 1 do 15";"Warszawa";"mazowieckie";"Warszawa"
"00-115";"Pl. Grzybowski od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-116";"Al. Jana Paw≥a II od 18 do 18";"Warszawa";"mazowieckie";"Warszawa"
"00-116";"ul. åwiÍtokrzyska od 24 do ostatniego, od 39 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-117";"Al. Jana Paw≥a II od 2 do 10";"Warszawa";"mazowieckie";"Warszawa"
"00-117";"ul. Chmielna od 38 do 88, od 37 do 67";"Warszawa";"mazowieckie";"Warszawa"
"00-118";"ul. Plater Emilii od 34 do 34, od 37 do 47";"Warszawa";"mazowieckie";"Warszawa"
"00-119";"ul. Sosnowa";"Warszawa";"mazowieckie";"Warszawa"
"00-120";"ul. Z≥ota od 10 do 56, od 13 do 59";"Warszawa";"mazowieckie";"Warszawa"
"00-121";"ul. Sienna od 1 do 45";"Warszawa";"mazowieckie";"Warszawa"
"00-123";"ul. MariaÒska";"Warszawa";"mazowieckie";"Warszawa"
"00-124";"Al. Jana Paw≥a II od 12 do 16";"Warszawa";"mazowieckie";"Warszawa"
"00-124";"ul. PaÒska od 2 do 46, od 1 do 45";"Warszawa";"mazowieckie";"Warszawa"
"00-124";"ul. Rondo ONZ od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-125";"ul. Plater Emilii od 49 do 51";"Warszawa";"mazowieckie";"Warszawa"
"00-126";"ul. Sienna od 2 do 48";"Warszawa";"mazowieckie";"Warszawa"
"00-127";"ul. åliska od 2 do 28, od 1 do 29";"Warszawa";"mazowieckie";"Warszawa"
"00-130";"ul. Graniczna";"Warszawa";"mazowieckie";"Warszawa"
"00-131";"ul. Grzybowska od 2 do 10";"Warszawa";"mazowieckie";"Warszawa"
"00-132";"ul. Grzybowska od 12 do 26, od 1 do 25";"Warszawa";"mazowieckie";"Warszawa"
"00-133";"Al. Jana Paw≥a II od 20 do 26";"Warszawa";"mazowieckie";"Warszawa"
"00-135";"Al. Jana Paw≥a II od 28 do 30";"Warszawa";"mazowieckie";"Warszawa"
"00-136";"Pl. Øelaznej Bramy";"Warszawa";"mazowieckie";"Warszawa"
"00-137";"ul. Elektoralna od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-138";"Pl. Mirowski";"Warszawa";"mazowieckie";"Warszawa"
"00-138";"ul. Ptasia";"Warszawa";"mazowieckie";"Warszawa"
"00-138";"ul. Zimna";"Warszawa";"mazowieckie";"Warszawa"
"00-139";"Pl. Bankowy od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-139";"ul. Elektoralna od 2 do 22";"Warszawa";"mazowieckie";"Warszawa"
"00-140";"Al. Solidarnoúci od 103 do 117";"Warszawa";"mazowieckie";"Warszawa"
"00-141";"Al. Jana Paw≥a II od 32 do 42";"Warszawa";"mazowieckie";"Warszawa"
"00-142";"Pl. Bankowy od 3 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-143";"ul. Orla";"Warszawa";"mazowieckie";"Warszawa"
"00-144";"Al. Solidarnoúci od 81 do 101";"Warszawa";"mazowieckie";"Warszawa"
"00-145";"Al. Jana Paw≥a II od 44 do 44";"Warszawa";"mazowieckie";"Warszawa"
"00-145";"Al. Solidarnoúci od 72 do 82";"Warszawa";"mazowieckie";"Warszawa"
"00-146";"ul. Nowolipie od 1 do 7";"Warszawa";"mazowieckie";"Warszawa"
"00-147";"Al. Genera≥a Andersa W≥adys≥awa od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"00-148";"Al. Jana Paw≥a II od 46 do 50";"Warszawa";"mazowieckie";"Warszawa"
"00-149";"ul. Karmelicka od 2 do 6, od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"00-150";"ul. Nowolipie od 2 do 14, od 9 do 19";"Warszawa";"mazowieckie";"Warszawa"
"00-151";"ul. Nowolipki od 1 do 17";"Warszawa";"mazowieckie";"Warszawa"
"00-152";"Al. Jana Paw≥a II od 52 do 54";"Warszawa";"mazowieckie";"Warszawa"
"00-153";"ul. Nowolipki od 4 do 12";"Warszawa";"mazowieckie";"Warszawa"
"00-153";"ul. Zamenhofa Ludwika od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-154";"ul. Dzielna od 7 do 7A";"Warszawa";"mazowieckie";"Warszawa"
"00-155";"ul. Karmelicka od 8 do 8, od 7 do 11";"Warszawa";"mazowieckie";"Warszawa"
"00-156";"Al. Jana Paw≥a II od 56 do 58";"Warszawa";"mazowieckie";"Warszawa"
"00-157";"ul. Anielewicza Mordechaja od 2 do 8, od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"00-158";"ul. Nalewki od 2 do ostatniego, od 1 do 3, od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-159";"Al. Genera≥a Andersa W≥adys≥awa od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-159";"ul. Dawidowskiego Alka";"Warszawa";"mazowieckie";"Warszawa"
"00-160";"ul. Nowolipki od 2 do 2";"Warszawa";"mazowieckie";"Warszawa"
"00-160";"ul. Zamenhofa Ludwika od 2 do 8";"Warszawa";"mazowieckie";"Warszawa"
"00-161";"ul. Anielewicza Mordechaja od 7 do 13";"Warszawa";"mazowieckie";"Warszawa"
"00-162";"ul. Dzielna od 2 do 28, od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"00-163";"ul. Karmelicka od 10 do 18, od 13 do 15";"Warszawa";"mazowieckie";"Warszawa"
"00-164";"ul. Pawia od 2 do 14, od 1 do 13";"Warszawa";"mazowieckie";"Warszawa"
"00-165";"ul. Zamenhofa Ludwika od 3 do 9";"Warszawa";"mazowieckie";"Warszawa"
"00-166";"Al. Jana Paw≥a II od 60 do 62";"Warszawa";"mazowieckie";"Warszawa"
"00-167";"ul. Anielewicza Mordechaja od 10 do 14, od 15 do 19";"Warszawa";"mazowieckie";"Warszawa"
"00-168";"ul. Karmelicka od 17 do 21";"Warszawa";"mazowieckie";"Warszawa"
"00-169";"ul. Lewartowskiego JÛzefa od 18 do ostatniego, od 17 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-170";"Al. Jana Paw≥a II od 64 do 68";"Warszawa";"mazowieckie";"Warszawa"
"00-171";"ul. B≥oÒska";"Warszawa";"mazowieckie";"Warszawa"
"00-172";"ul. Dzika od 6 do 18, od 1 do 23";"Warszawa";"mazowieckie";"Warszawa"
"00-173";"ul. Karmelicka od 23 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-174";"ul. Mi≥a od 8 do 10, od 15 do 21";"Warszawa";"mazowieckie";"Warszawa"
"00-175";"Al. Jana Paw≥a II od 70 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-176";"ul. Niska od 8 do 14, od 9 do 13";"Warszawa";"mazowieckie";"Warszawa"
"00-177";"ul. Skwer WieüniÛw Politycznych Stalinizmu";"Warszawa";"mazowieckie";"Warszawa"
"00-178";"ul. Stawki od 10 do 14, od 11 do 15";"Warszawa";"mazowieckie";"Warszawa"
"00-179";"ul. Niska od 2 do 6, od 1 do 7";"Warszawa";"mazowieckie";"Warszawa"
"00-180";"ul. Mi≥a od 2 do 6, od 1 do 13";"Warszawa";"mazowieckie";"Warszawa"
"00-181";"ul. Karmelicka od 24 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-182";"ul. Dubois Stanis≥awa od 7 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-183";"ul. Stawki od 5 do 9";"Warszawa";"mazowieckie";"Warszawa"
"00-184";"ul. Dubois Stanis≥awa od 1 do 5";"Warszawa";"mazowieckie";"Warszawa"
"00-185";"ul. Lewartowskiego JÛzefa od 10 do 16, od 9 do 15";"Warszawa";"mazowieckie";"Warszawa"
"00-186";"ul. Karmelicka od 20 do 22";"Warszawa";"mazowieckie";"Warszawa"
"00-187";"ul. Nalewki od 5 do 5";"Warszawa";"mazowieckie";"Warszawa"
"00-187";"ul. Zamenhofa Ludwika od 10 do ostatniego, od 11 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-188";"ul. Dubois Stanis≥awa od 6 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-189";"ul. Inflancka";"Warszawa";"mazowieckie";"Warszawa"
"00-190";"ul. Lewartowskiego JÛzefa od 2 do 8, od 1 do 7";"Warszawa";"mazowieckie";"Warszawa"
"00-191";"Poczta Warszawa 047, ul. Lewartowskiego 5";"Warszawa";"mazowieckie";"Warszawa"
"00-192";"ul. Muranowska od 4 do ostatniego, od 3 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-193";"ul. Stawki od 2 do 8, od 1 do 3";"Warszawa";"mazowieckie";"Warszawa"
"00-194";"ul. Dzika od 2 do 4";"Warszawa";"mazowieckie";"Warszawa"
"00-195";"ul. S≥omiÒskiego Zygmunta od 3 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-196";"ul. Dubois Stanis≥awa od 2 do 4";"Warszawa";"mazowieckie";"Warszawa"
"00-197";"ul. K≥opot";"Warszawa";"mazowieckie";"Warszawa"
"00-198";"Poczta Warszawa 080, ul. Dzika 4";"Warszawa";"mazowieckie";"Warszawa"
"00-199";"ul. Pokorna";"Warszawa";"mazowieckie";"Warszawa"
"00-200";"ul. FranciszkaÒska od 21 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-201";"Al. Genera≥a Andersa W≥adys≥awa od 6 do 28";"Warszawa";"mazowieckie";"Warszawa"
"00-202";"ul. Wa≥owa od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-202";"ul. åwiÍtojerska od 16 do ostatniego, od 13 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-203";"ul. Bonifraterska od 18 do ostatniego, od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-204";"ul. S≥omiÒskiego Zygmunta od 2 do ostatniego, od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-205";"ul. FranciszkaÒska od 16 do ostatniego, od 11 do 19";"Warszawa";"mazowieckie";"Warszawa"
"00-206";"ul. Konwiktorska od 6 do 6";"Warszawa";"mazowieckie";"Warszawa"
"00-207";"Pl. KrasiÒskich";"Warszawa";"mazowieckie";"Warszawa"
"00-208";"ul. MiÍdzyparkowa";"Warszawa";"mazowieckie";"Warszawa"
"00-209";"ul. Muranowska od 2 do 2, od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-210";"Al. Genera≥a Andersa W≥adys≥awa od 30 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-211";"ul. Wa≥owa od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-213";"ul. Bonifraterska od 2 do 16";"Warszawa";"mazowieckie";"Warszawa"
"00-214";"ul. FranciszkaÒska od 2 do 14";"Warszawa";"mazowieckie";"Warszawa"
"00-215";"ul. DolaÒskiego W≥odzimierza";"Warszawa";"mazowieckie";"Warszawa"
"00-215";"ul. FondamiÒskiego Edwarda";"Warszawa";"mazowieckie";"Warszawa"
"00-215";"ul. SapieøyÒska";"Warszawa";"mazowieckie";"Warszawa"
"00-216";"ul. Konwiktorska od 5 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-217";"ul. Konwiktorska od 2 do 4, od 8 do ostatniego, od 1 do 3";"Warszawa";"mazowieckie";"Warszawa"
"00-218";"ul. Koúcielna";"Warszawa";"mazowieckie";"Warszawa"
"00-219";"ul. Przyrynek";"Warszawa";"mazowieckie";"Warszawa"
"00-220";"ul. RajcÛw";"Warszawa";"mazowieckie";"Warszawa"
"00-220";"ul. Samborska";"Warszawa";"mazowieckie";"Warszawa"
"00-221";"ul. Burmistrzowska";"Warszawa";"mazowieckie";"Warszawa"
"00-221";"ul. Rybaki";"Warszawa";"mazowieckie";"Warszawa"
"00-222";"ul. Sanguszki Romana";"Warszawa";"mazowieckie";"Warszawa"
"00-223";"ul. WenedÛw";"Warszawa";"mazowieckie";"Warszawa"
"00-224";"ul. Skwer Batalionu AK ""Gozdawa""";"Warszawa";"mazowieckie";"Warszawa"
"00-224";"ul. WÛjtowska";"Warszawa";"mazowieckie";"Warszawa"
"00-225";"ul. Szymanowska";"Warszawa";"mazowieckie";"Warszawa"
"00-225";"ul. Zakroczymska";"Warszawa";"mazowieckie";"Warszawa"
"00-227";"ul. FranciszkaÒska od 1 do 1";"Warszawa";"mazowieckie";"Warszawa"
"00-227";"ul. Freta";"Warszawa";"mazowieckie";"Warszawa"
"00-228";"ul. Koüla od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-229";"ul. Rynek Nowego Miasta";"Warszawa";"mazowieckie";"Warszawa"
"00-230";"ul. Piesza";"Warszawa";"mazowieckie";"Warszawa"
"00-231";"ul. Mostowa od 32 do 32";"Warszawa";"mazowieckie";"Warszawa"
"00-231";"ul. Stara";"Warszawa";"mazowieckie";"Warszawa"
"00-232";"ul. Ciasna";"Warszawa";"mazowieckie";"Warszawa"
"00-232";"ul. Gomulickiego Wiktora";"Warszawa";"mazowieckie";"Warszawa"
"00-233";"ul. FranciszkaÒska od 3 do 9";"Warszawa";"mazowieckie";"Warszawa"
"00-234";"ul. Koüla od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-235";"ul. Nowiniarska";"Warszawa";"mazowieckie";"Warszawa"
"00-236";"ul. åwiÍtojerska od 2 do 14, od 1 do 11";"Warszawa";"mazowieckie";"Warszawa"
"00-237";"ul. Barokowa";"Warszawa";"mazowieckie";"Warszawa"
"00-238";"ul. D≥uga od 2 do 42, od 9 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-240";"Al. Solidarnoúci od 58 do 70";"Warszawa";"mazowieckie";"Warszawa"
"00-241";"ul. D≥uga od 44 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-242";"ul. BohaterÛw Getta";"Warszawa";"mazowieckie";"Warszawa"
"00-243";"Al. Genera≥a Andersa W≥adys≥awa od 2 do 4";"Warszawa";"mazowieckie";"Warszawa"
"00-244";"ul. Hipoteczna od 6 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-245";"ul. KapucyÒska";"Warszawa";"mazowieckie";"Warszawa"
"00-246";"ul. Miodowa od 14 do ostatniego, od 9 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-248";"ul. Schillera Leona";"Warszawa";"mazowieckie";"Warszawa"
"00-249";"ul. Kapitulna od 2 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-251";"ul. Miodowa od 6 do 12, od 5 do 7";"Warszawa";"mazowieckie";"Warszawa"
"00-252";"ul. Podwale od 2 do 24, od 1 do 19";"Warszawa";"mazowieckie";"Warszawa"
"00-253";"ul. Kapitulna od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-254";"ul. Rycerska";"Warszawa";"mazowieckie";"Warszawa"
"00-255";"ul. Szeroki Dunaj";"Warszawa";"mazowieckie";"Warszawa"
"00-256";"ul. Wπski Dunaj od 2 do ostatniego, od 5 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-257";"ul. KiliÒskiego Jana";"Warszawa";"mazowieckie";"Warszawa"
"00-258";"ul. Brzozowa od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-259";"ul. BoleúÊ";"Warszawa";"mazowieckie";"Warszawa"
"00-260";"ul. Mostowa od 2 do 30, od 34 do ostatniego, od 1 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
"00-260";"ul. Nowomiejska od 21 do 21";"Warszawa";"mazowieckie";"Warszawa"
"00-261";"ul. Podwale od 26 do ostatniego, od 21 do ostatniego";"Warszawa";"mazowieckie";"Warszawa"
