id	gender	wiek	educ	jobcat	salary	salbegin	jobtime	prevexp	minority
80	Kobieta	39	16	Urzędnik	51000	18000	93	22	Nie
81	Kobieta	32	12	Urzędnik	24300	10950	93	5	Nie
82	Kobieta	53	12	Urzędnik	24750	14250	93	193	Tak
83	Kobieta	33	12	Urzędnik	22950	11250	93	0	Tak
84	Kobieta	33	8	Urzędnik	25050	10950	93	8	Tak
85	Mężczyzna	38	15	Urzędnik	25950	17100	92	42	Nie
86	Mężczyzna	39	15	Urzędnik	31650	15750	92	64	Nie
87	Mężczyzna	41	12	Urzędnik	24150	14100	92	130	Nie
88	Mężczyzna	38	19	Menedżer	72500	28740	92	10	Nie
89	Mężczyzna	39	19	Menedżer	68750	27480	92	8	Nie
90	Kobieta	62	8	Urzędnik	16200	9750	92	0	Nie
91	Kobieta	33	12	Urzędnik	20100	11250	92	24	Nie
92	Kobieta	32	8	Urzędnik	24000	10950	92	6	Nie
93	Kobieta	32	12	Urzędnik	25950	10950	92	0	Nie
94	Kobieta	50	12	Urzędnik	24600	10050	92	44	Nie
95	Kobieta	32	12	Urzędnik	28500	10500	92	6	Nie
96	Mężczyzna	67	8	Ochroniarz	30750	15000	92	432	Tak
97	Mężczyzna	47	17	Urzędnik	40200	19500	92	168	Tak
98	Mężczyzna	44	8	Ochroniarz	30000	15000	92	144	Tak
99	Kobieta	32	12	Urzędnik	22050	10950	92	5	Tak
100	Mężczyzna	37	18	Menedżer	78250	27480	91	47	Nie
101	Mężczyzna	40	16	Menedżer	60625	22500	91	44	Nie
102	Mężczyzna	37	14	Urzędnik	39900	15750	91	59	Nie
103	Mężczyzna	41	19	Menedżer	97000	35010	91	68	Nie
104	Mężczyzna	38	15	Urzędnik	27450	15750	91	48	Nie
105	Mężczyzna	34	15	Urzędnik	31650	13500	91	18	Nie
106	Mężczyzna	38	19	Menedżer	91250	29490	91	23	Nie
107	Kobieta	40	12	Urzędnik	25200	14400	91	83	Nie
108	Kobieta	70	12	Urzędnik	21000	11550	91	108	Nie
109	Mężczyzna	37	12	Urzędnik	30450	15000	91	49	Tak
110	Mężczyzna	48	15	Urzędnik	28350	18000	91	151	Tak
111	Mężczyzna	60	12	Ochroniarz	30750	9000	91	314	Tak
112	Mężczyzna	52	12	Ochroniarz	30750	15000	91	240	Tak
113	Mężczyzna	41	16	Menedżer	54875	27480	90	68	Nie
114	Mężczyzna	39	14	Urzędnik	37800	16500	90	60	Nie
115	Mężczyzna	39	15	Urzędnik	33450	14100	90	85	Nie
116	Mężczyzna	38	15	Urzędnik	30300	16500	90	16	Nie
117	Kobieta	68	12	Urzędnik	31500	18750	90	205	Nie
118	Kobieta	36	12	Urzędnik	31650	14250	90	48	Nie
119	Kobieta	37	12	Urzędnik	25200	14100	90	55	Nie
120	Kobieta	36	16	Menedżer	37800	15750	90	7	Nie
121	Kobieta	64	15	Urzędnik	18750	10500	90	54	Nie
122	Kobieta	35	15	Urzędnik	32550	13500	90	22	Nie
123	Kobieta	51	12	Urzędnik	33300	15000	90	3	Nie
124	Kobieta	37	16	Urzędnik	38550	16500	90	0	Nie
125	Mężczyzna	44	12	Urzędnik	27450	15000	90	173	Tak
126	Mężczyzna	49	15	Ochroniarz	24300	15000	90	191	Tak
127	Mężczyzna	50	12	Ochroniarz	30750	15000	90	209	Tak
128	Kobieta	54	12	Urzędnik	19650	9750	90	229	Tak
129	Mężczyzna	41	17	Menedżer	68750	27510	89	38	Nie
130	Mężczyzna	42	20	Menedżer	59375	30000	89	6	Nie
131	Mężczyzna	38	15	Urzędnik	31500	15750	89	22	Nie
132	Mężczyzna	47	12	Urzędnik	27300	17250	89	175	Nie
133	Mężczyzna	41	15	Urzędnik	27000	15750	89	87	Nie
134	Kobieta	59	16	Menedżer	41550	24990	89	285	Nie
135	Kobieta	32	12	Urzędnik	26250	10950	89	0	Nie
136	Mężczyzna	61	12	Urzędnik	22200	15000	88	324	Nie
137	Mężczyzna	63	21	Menedżer	65000	37500	88	264	Nie
138	Mężczyzna	53	12	Urzędnik	30900	15000	88	252	Nie
139	Kobieta	69	8	Urzędnik	20100	13200	88	90	Nie
140	Kobieta	35	12	Urzędnik	22350	13500	88	26	Nie
141	Kobieta	34	15	Urzędnik	35550	13350	88	32	Nie
142	Kobieta	34	12	Urzędnik	28500	13950	88	34	Nie
143	Kobieta	61	12	Urzędnik	24450	13200	88	107	Nie
144	Kobieta	69	8	Urzędnik	16650	9750	88	412	Nie
145	Mężczyzna	36	12	Urzędnik	26700	13500	88	38	Tak
146	Mężczyzna	49	18	Urzędnik	43950	23250	88	182	Tak
147	Mężczyzna	64	15	Urzędnik	23700	13500	88	359	Tak
148	Kobieta	41	15	Urzędnik	26550	14250	88	61	Tak
149	Mężczyzna	38	12	Urzędnik	27600	15000	87	75	Nie
150	Mężczyzna	46	12	Urzędnik	25800	15000	87	143	Nie
151	Mężczyzna	46	16	Menedżer	42300	26250	87	126	Nie
152	Mężczyzna	71	8	Ochroniarz	30750	15000	87	451	Nie
153	Kobieta	33	12	Urzędnik	26700	12900	87	18	Nie
154	Kobieta	60	12	Urzędnik	20850	12000	87	163	Nie
155	Mężczyzna	37	15	Urzędnik	35250	15000	87	54	Tak
156	Mężczyzna	37	15	Urzędnik	26700	15000	87	56	Tak
157	Kobieta	33	12	Urzędnik	26550	13050	87	11	Tak
158	Kobieta	36	12	Urzędnik	27750	12000	87	11	Tak
159	Kobieta	49	16	Urzędnik	25050	12750	87	123	Tak
160	Mężczyzna	49	16	Menedżer	66000	47490	86	150	Nie
161	Mężczyzna	37	16	Urzędnik	52650	19500	86	20	Nie
162	Mężczyzna	39	16	Menedżer	45625	23250	86	60	Nie
163	Mężczyzna	35	15	Urzędnik	30900	15000	86	25	Nie
164	Kobieta	35	15	Urzędnik	29400	16500	86	24	Nie
165	Kobieta	34	15	Urzędnik	33300	13500	86	24	Nie
166	Kobieta	58	12	Urzędnik	21900	9750	86	156	Nie
167	Kobieta	68	12	Urzędnik	18150	9750	86	72	Nie
168	Kobieta	38	16	Menedżer	46875	17250	86	19	Nie
169	Mężczyzna	35	12	Urzędnik	25500	14400	86	37	Tak
170	Mężczyzna	36	12	Urzędnik	26550	15000	86	38	Tak
171	Mężczyzna	70	12	Urzędnik	26700	13500	86	367	Tak
172	Kobieta	47	15	Urzędnik	29850	15000	86	79	Tak
173	Mężczyzna	50	20	Menedżer	69250	42480	85	134	Nie
174	Mężczyzna	65	8	Ochroniarz	31950	15000	85	438	Nie
175	Mężczyzna	62	8	Urzędnik	26250	15600	85	171	Nie
176	Kobieta	38	16	Urzędnik	35700	17250	85	19	Nie
177	Kobieta	38	12	Urzędnik	28500	16500	85	69	Nie
178	Kobieta	62	12	Urzędnik	17100	10200	85	72	Nie
179	Mężczyzna	35	12	Urzędnik	25200	13050	85	29	Tak
180	Kobieta	40	12	Urzędnik	24000	12750	85	59	Tak
181	Kobieta	61	12	Urzędnik	27450	10200	85	101	Tak
182	Kobieta	57	12	Urzędnik	18450	10200	85	228	Tak
183	Mężczyzna	40	15	Urzędnik	39300	15750	84	72	Nie
184	Mężczyzna	36	15	Urzędnik	38850	15000	84	53	Nie
185	Mężczyzna	70	8	Ochroniarz	30750	15000	84	380	Nie
186	Mężczyzna	36	15	Urzędnik	37500	20400	84	33	Nie
187	Mężczyzna	37	16	Menedżer	58750	21750	84	13	Nie
188	Kobieta	66	12	Urzędnik	34500	18750	84	208	Nie
189	Kobieta	50	12	Urzędnik	36000	19980	84	240	Nie
190	Kobieta	68	8	Urzędnik	29100	16500	84	35	Nie
191	Kobieta	69	12	Urzędnik	16500	10200	84	288	Nie
192	Mężczyzna	51	12	Urzędnik	19650	12750	84	180	Tak
193	Kobieta	34	12	Urzędnik	24750	12000	84	41	Tak
194	Kobieta	62	15	Urzędnik	27150	15750	84	231	Tak
195	Kobieta	45	12	Urzędnik	26400	12750	84	36	Tak
196	Kobieta	54	16	Urzędnik	23100	12000	84	214	Tak
197	Mężczyzna	38	15	Menedżer	54900	25500	83	49	Nie
198	Mężczyzna	48	19	Menedżer	70875	43500	83	156	Nie
199	Mężczyzna	42	16	Menedżer	51250	27480	83	69	Nie
200	Mężczyzna	37	17	Menedżer	67500	34980	83	9	Nie
201	Mężczyzna	45	12	Urzędnik	29340	19500	83	150	Nie
202	Mężczyzna	37	15	Urzędnik	39600	16500	83	47	Nie
203	Mężczyzna	36	12	Urzędnik	29100	15000	83	50	Nie
204	Mężczyzna	40	15	Urzędnik	33150	16500	83	69	Nie
205	Mężczyzna	56	16	Menedżer	66750	52500	83	258	Nie
206	Mężczyzna	57	12	Ochroniarz	33750	15000	83	284	Nie
207	Mężczyzna	41	15	Urzędnik	27300	17250	83	91	Nie
208	Kobieta	32	12	Urzędnik	24000	11250	83	16	Nie
209	Kobieta	66	8	Urzędnik	19800	10200	83	75	Nie
210	Mężczyzna	51	15	Urzędnik	30600	16500	83	216	Tak
211	Mężczyzna	50	15	Urzędnik	28950	15000	83	108	Tak
212	Mężczyzna	35	15	Urzędnik	38400	16500	83	64	Tak
213	Mężczyzna	55	8	Ochroniarz	30750	15000	83	302	Tak
214	Kobieta	32	12	Urzędnik	20400	10950	83	9	Tak
215	Kobieta	32	12	Urzędnik	19200	11100	83	7	Tak
216	Mężczyzna	36	15	Urzędnik	30150	15750	82	72	Nie
217	Mężczyzna	51	16	Urzędnik	34620	27750	82	149	Nie
218	Mężczyzna	36	15	Urzędnik	80000	15750	82	34	Nie
219	Mężczyzna	37	12	Urzędnik	25350	15000	82	32	Nie
220	Mężczyzna	37	12	Urzędnik	29850	15750	82	85	Nie
221	Kobieta	53	12	Urzędnik	24000	13800	82	97	Nie
222	Kobieta	65	15	Urzędnik	27750	19500	82	265	Nie
223	Kobieta	58	8	Urzędnik	22350	10200	82	48	Nie
224	Kobieta	66	12	Urzędnik	16200	10200	82	0	Nie
225	Kobieta	33	15	Urzędnik	21900	12750	82	0	Nie
226	Kobieta	36	16	Urzędnik	23250	15750	82	4	Nie
227	Kobieta	35	12	Urzędnik	33900	12000	82	11	Nie
228	Kobieta	37	15	Urzędnik	25650	14250	82	51	Nie
229	Kobieta	60	12	Urzędnik	17250	10200	82	358	Nie
230	Mężczyzna	66	15	Urzędnik	22500	15000	82	371	Tak
231	Mężczyzna	35	16	Menedżer	40200	21000	81	3	Nie
232	Mężczyzna	37	19	Menedżer	55500	33750	81	62	Nie
233	Mężczyzna	37	15	Urzędnik	26550	15000	81	52	Nie
234	Mężczyzna	40	15	Urzędnik	50550	19500	81	44	Nie
235	Mężczyzna	38	19	Menedżer	75000	31500	81	13	Nie
236	Kobieta	31	8	Urzędnik	27450	12000	81	9	Nie
237	Kobieta	31	12	Urzędnik	22650	11250	81	0	Nie
238	Kobieta	31	12	Urzędnik	27300	11250	81	5	Nie
239	Kobieta	31	12	Urzędnik	27750	11225	81	5	Nie
240	Kobieta	39	16	Menedżer	54375	18750	81	81	Nie
241	Kobieta	64	8	Urzędnik	17400	10200	81	390	Nie
242	Kobieta	33	12	Urzędnik	40800	18000	81	4	Nie
243	Kobieta	31	12	Urzędnik	23100	10950	81	0	Nie
244	Kobieta	31	8	Urzędnik	22500	10950	81	5	Nie
245	Kobieta	31	12	Urzędnik	26700	11550	81	18	Nie
246	Kobieta	32	12	Urzędnik	24900	11250	81	0	Nie
247	Kobieta	32	12	Urzędnik	19650	10950	81	11	Nie
248	Kobieta	31	12	Urzędnik	22050	10950	81	9	Nie
249	Kobieta	31	12	Urzędnik	25500	12000	81	11	Nie
250	Kobieta	34	15	Urzędnik	28200	12750	81	19	Nie
251	Kobieta	31	12	Urzędnik	23100	11250	81	13	Nie
252	Mężczyzna	31	12	Urzędnik	25500	11400	81	9	Tak
253	Kobieta	58	8	Urzędnik	17100	10200	81	0	Tak
254	Mężczyzna	36	18	Menedżer	68125	32490	80	29	Nie
255	Mężczyzna	68	12	Ochroniarz	30600	15750	80	460	Nie
256	Mężczyzna	52	19	Menedżer	52125	27480	80	221	Nie
257	Mężczyzna	49	19	Menedżer	61875	36750	80	199	Nie
258	Mężczyzna	31	8	Urzędnik	21300	11550	80	24	Nie
259	Kobieta	31	12	Urzędnik	19650	11250	80	5	Nie
260	Kobieta	31	12	Urzędnik	22350	11250	80	5	Nie
261	Kobieta	31	12	Urzędnik	23400	11250	80	18	Nie
262	Kobieta	32	12	Urzędnik	24300	10950	80	8	Nie
263	Kobieta	32	12	Urzędnik	28500	11250	80	4	Nie
264	Kobieta	31	12	Urzędnik	19950	11250	80	8	Nie
265	Kobieta	31	12	Urzędnik	23400	11250	80	0	Nie
266	Kobieta	37	16	Urzędnik	34500	17250	80	3	Nie
267	Kobieta	31	12	Urzędnik	18150	10950	80	0	Nie
268	Mężczyzna	64	12	Urzędnik	22350	15000	80	272	Tak
269	Mężczyzna	34	15	Urzędnik	40200	17250	79	38	Nie
270	Mężczyzna	53	15	Urzędnik	28650	18000	79	261	Nie
271	Mężczyzna	37	15	Urzędnik	27750	16500	79	55	Nie
272	Mężczyzna	36	18	Urzędnik	66875	31980	79	30	Nie
273	Mężczyzna	61	12	Ochroniarz	30000	15750	79	308	Nie
274	Mężczyzna	36	16	Menedżer	83750	21750	79	12	Nie
275	Mężczyzna	37	12	Urzędnik	33900	16500	79	94	Nie
276	Mężczyzna	35	16	Menedżer	56500	21000	79	12	Nie
277	Kobieta	35	16	Menedżer	43000	17490	79	20	Nie
278	Kobieta	57	8	Urzędnik	20850	12000	79	70	Nie
279	Kobieta	31	12	Urzędnik	24450	12000	79	8	Nie
280	Kobieta	31	12	Urzędnik	24750	10950	79	5	Nie
281	Mężczyzna	55	8	Ochroniarz	34500	15750	79	246	Tak
282	Mężczyzna	37	14	Urzędnik	27900	15000	79	47	Tak
283	Mężczyzna	37	19	Menedżer	68125	32010	78	35	Nie
284	Mężczyzna	39	19	Menedżer	73500	33000	78	45	Nie
285	Mężczyzna	70	8	Ochroniarz	30750	15750	78	429	Nie
286	Mężczyzna	42	15	Menedżer	40050	25500	78	133	Nie
287	Mężczyzna	35	16	Urzędnik	40350	19500	78	20	Nie
288	Mężczyzna	45	15	Menedżer	38700	23730	78	176	Nie
289	Mężczyzna	36	17	Menedżer	65000	30750	78	26	Nie
290	Mężczyzna	46	18	Menedżer	51450	36240	78	149	Nie
291	Mężczyzna	66	12	Ochroniarz	35250	15750	78	387	Nie
292	Mężczyzna	37	14	Urzędnik	25950	15000	78	53	Nie
293	Mężczyzna	35	15	Urzędnik	25050	14250	78	24	Nie
294	Mężczyzna	32	12	Urzędnik	26700	12750	78	25	Nie
295	Mężczyzna	68	8	Urzędnik	24000	15750	78	476	Nie
296	Mężczyzna	36	12	Urzędnik	26850	15000	78	48	Nie
297	Kobieta	58	12	Urzędnik	23400	15300	78	209	Nie
298	Kobieta	34	12	Urzędnik	24600	13500	78	47	Nie
299	Kobieta	35	15	Urzędnik	32550	18000	78	6	Nie
300	Mężczyzna	40	16	Urzędnik	26550	15000	78	105	Tak
301	Mężczyzna	32	12	Urzędnik	31500	13500	78	7	Tak
302	Mężczyzna	61	8	Urzędnik	22350	15000	78	320	Tak
303	Mężczyzna	62	12	Ochroniarz	35250	15750	78	281	Tak
304	Kobieta	55	15	Urzędnik	25800	13500	78	51	Tak
305	Mężczyzna	59	12	Ochroniarz	30750	15750	77	317	Nie
306	Mężczyzna	34	15	Urzędnik	30750	16500	77	41	Nie
307	Mężczyzna	55	16	Menedżer	50000	32490	77	264	Nie
308	Mężczyzna	37	15	Urzędnik	34500	18000	77	63	Nie
309	Mężczyzna	36	15	Urzędnik	26250	15750	77	38	Nie
310	Mężczyzna	36	16	Urzędnik	44875	21240	77	22	Nie
311	Kobieta	49	12	Urzędnik	22500	12000	77	63	Nie
312	Kobieta	37	12	Urzędnik	25650	14250	77	64	Nie
313	Kobieta	31	12	Urzędnik	21300	11250	77	0	Nie
314	Kobieta	34	12	Urzędnik	29850	13500	77	38	Nie
315	Kobieta	31	12	Urzędnik	34500	12150	77	4	Nie
316	Mężczyzna	40	15	Urzędnik	27750	15000	77	52	Tak
317	Mężczyzna	31	12	Urzędnik	27750	11550	77	12	Tak
318	Mężczyzna	39	16	Menedżer	48750	21990	76	61	Nie
319	Mężczyzna	34	15	Urzędnik	43410	15750	76	12	Nie
320	Mężczyzna	64	12	Urzędnik	22050	15000	76	385	Nie
321	Kobieta	47	12	Urzędnik	22050	12000	76	6	Nie
322	Kobieta	62	12	Urzędnik	22500	14250	76	90	Nie
323	Kobieta	33	15	Urzędnik	25500	12000	76	7	Nie
324	Kobieta	34	12	Urzędnik	29160	15000	76	22	Nie
325	Kobieta	66	8	Urzędnik	16800	10200	76	76	Nie
326	Mężczyzna	42	8	Ochroniarz	29550	15750	76	144	Tak
327	Mężczyzna	35	12	Urzędnik	26700	15750	76	18	Tak
328	Mężczyzna	48	18	Menedżer	55000	32490	75	125	Nie
329	Mężczyzna	42	18	Menedżer	62500	34980	75	74	Nie
330	Mężczyzna	41	15	Urzędnik	27300	17250	75	132	Nie
331	Kobieta	58	12	Urzędnik	24450	12000	75	144	Nie
332	Kobieta	36	16	Urzędnik	33000	18000	75	26	Nie
333	Kobieta	35	15	Urzędnik	37050	18000	75	5	Nie
334	Kobieta	34	12	Urzędnik	24450	10950	75	32	Tak
335	Mężczyzna	70	8	Ochroniarz	31950	15750	74	408	Nie
336	Mężczyzna	36	16	Menedżer	47250	21240	74	45	Nie
337	Kobieta	30	12	Urzędnik	26100	11550	74	2	Nie
338	Kobieta	62	8	Urzędnik	15900	10200	74	43	Nie
339	Kobieta	58	8	Urzędnik	23700	10650	74	281	Nie
340	Kobieta	66	8	Urzędnik	21750	12450	74	318	Nie
341	Mężczyzna	55	12	Menedżer	59400	33750	74	272	Tak
342	Kobieta	52	12	Urzędnik	24450	14250	74	117	Tak
343	Mężczyzna	47	16	Menedżer	103500	60000	73	150	Nie
344	Mężczyzna	37	12	Urzędnik	35700	16500	73	72	Nie
345	Kobieta	31	12	Urzędnik	22200	16500	73	7	Nie
346	Kobieta	32	15	Urzędnik	22950	13950	73	22	Nie
347	Kobieta	56	12	Urzędnik	23100	12000	73	228	Nie
348	Kobieta	38	16	Menedżer	56750	30000	73	15	Nie
349	Kobieta	62	17	Urzędnik	29100	12750	73	375	Nie
350	Kobieta	61	12	Urzędnik	37650	15750	73	132	Nie
351	Kobieta	34	12	Urzędnik	27900	13500	73	32	Nie
352	Kobieta	67	8	Urzędnik	21150	12000	73	159	Nie
353	Mężczyzna	45	12	Ochroniarz	31200	15750	73	155	Tak
354	Kobieta	54	12	Urzędnik	20550	11250	73	154	Tak
355	Mężczyzna	39	15	Urzędnik	25950	17250	72	83	Nie
356	Mężczyzna	35	15	Urzędnik	28350	15000	72	48	Nie
357	Kobieta	68	8	Urzędnik	17700	10200	72	184	Nie
358	Kobieta	56	15	Urzędnik	23550	13500	72	49	Nie
359	Kobieta	59	12	Urzędnik	19950	10200	72	56	Nie
360	Kobieta	32	12	Urzędnik	29400	15300	72	30	Nie
361	Kobieta	34	12	Urzędnik	28800	13950	72	18	Nie
362	Kobieta	63	8	Urzędnik	16950	10200	72	319	Nie
363	Mężczyzna	46	16	Urzędnik	35700	18000	72	138	Tak
364	Kobieta	53	12	Urzędnik	17400	10200	72	116	Tak
365	Kobieta	52	8	Urzędnik	21450	10200	72	194	Tak
366	Kobieta	39	12	Urzędnik	24750	12000	72	68	Tak
367	Kobieta	58	12	Urzędnik	16950	10200	72	271	Tak
368	Kobieta	57	12	Urzędnik	26100	13500	72	169	Tak
369	Mężczyzna	33	14	Urzędnik	28050	15000	71	15	Nie
370	Kobieta	37	16	Urzędnik	36600	18000	71	12	Nie
371	Kobieta	34	16	Menedżer	58125	18000	71	11	Nie
372	Mężczyzna	65	15	Urzędnik	21300	15750	70	372	Nie
373	Mężczyzna	51	12	Urzędnik	22500	16500	70	216	Nie
374	Mężczyzna	33	15	Urzędnik	29400	15750	70	15	Nie
375	Mężczyzna	34	12	Urzędnik	27450	14700	70	41	Nie
376	Mężczyzna	36	15	Urzędnik	29850	15750	70	48	Nie
377	Mężczyzna	35	15	Urzędnik	25350	15750	70	56	Nie
378	Kobieta	70	8	Urzędnik	15750	10200	70	275	Nie
379	Kobieta	62	8	Urzędnik	19650	13050	70	102	Nie
380	Kobieta	59	12	Urzędnik	21000	13500	70	82	Nie
381	Mężczyzna	54	17	Urzędnik	27000	18000	70	192	Tak
382	Mężczyzna	41	12	Urzędnik	24000	15750	70	120	Tak
383	Mężczyzna	39	17	Menedżer	78500	28740	70	67	Tak
384	Kobieta	45	12	Urzędnik	20850	13050	70	127	Tak
385	Mężczyzna	70	12	Ochroniarz	30000	15750	69	348	Nie
386	Mężczyzna	66	8	Ochroniarz	28500	15750	69	174	Nie
387	Mężczyzna	35	19	Menedżer	65000	31980	69	74	Nie
388	Mężczyzna	41	14	Urzędnik	30150	16500	69	110	Nie
389	Mężczyzna	41	19	Menedżer	66875	32490	69	81	Nie
390	Kobieta	32	15	Urzędnik	24150	13500	69	7	Nie
391	Kobieta	31	12	Urzędnik	24450	12450	69	12	Nie
392	Kobieta	30	12	Urzędnik	21600	12000	69	0	Nie
393	Kobieta	31	12	Urzędnik	27900	12450	69	0	Nie
394	Kobieta	30	8	Urzędnik	29100	12450	69	17	Nie
395	Kobieta	30	12	Urzędnik	22650	11250	69	2	Nie
396	Kobieta	30	12	Urzędnik	20850	11250	69	0	Nie
397	Kobieta	30	12	Urzędnik	22950	12300	69	5	Nie
398	Kobieta	30	12	Urzędnik	30600	12450	69	5	Nie
399	Kobieta	30	12	Urzędnik	20400	11250	69	0	Nie
400	Kobieta	31	12	Urzędnik	23850	12750	69	20	Nie
401	Kobieta	30	12	Urzędnik	22800	11250	69	0	Nie
402	Kobieta	30	12	Urzędnik	20700	11250	69	2	Nie
403	Kobieta	30	12	Urzędnik	21300	11250	69	3	Tak
404	Kobieta	47	12	Urzędnik	24300	15000	69	121	Tak
405	Kobieta	56	12	Urzędnik	19650	13950	69	133	Tak
406	Mężczyzna	35	17	Menedżer	60000	32490	68	17	Nie
407	Mężczyzna	35	15	Urzędnik	30300	15750	68	55	Nie
408	Mężczyzna	36	19	Menedżer	61250	33000	68	9	Nie
409	Mężczyzna	38	19	Urzędnik	36000	19500	68	21	Nie
410	Kobieta	58	8	Urzędnik	25200	18750	68	344	Nie
